,QQQM,units bought of QQQM,cumulative QQQM,cost of QQQM,total cost of QQQM,value of QQQM,SPCE,units bought of SPCE,cumulative SPCE,cost of SPCE,total cost of SPCE,value of SPCE,TBT220121C00025000,units bought of TBT220121C00025000,cumulative TBT220121C00025000,cost of TBT220121C00025000,total cost of TBT220121C00025000,value of TBT220121C00025000,AGC220121C00015000,units bought of AGC220121C00015000,cumulative AGC220121C00015000,cost of AGC220121C00015000,total cost of AGC220121C00015000,value of AGC220121C00015000,ETH-USD,units bought of ETH-USD,cumulative ETH-USD,cost of ETH-USD,total cost of ETH-USD,value of ETH-USD,ADA-USD,units bought of ADA-USD,cumulative ADA-USD,cost of ADA-USD,total cost of ADA-USD,value of ADA-USD,SHIB-USD,units bought of SHIB-USD,cumulative SHIB-USD,cost of SHIB-USD,total cost of SHIB-USD,value of SHIB-USD,CRO-USD,units bought of CRO-USD,cumulative CRO-USD,cost of CRO-USD,total cost of CRO-USD,value of CRO-USD,SOL-USD,units bought of SOL-USD,cumulative SOL-USD,cost of SOL-USD,total cost of SOL-USD,value of SOL-USD,total invested,total value
2021-10-31,158.60052490234375,0.0,10.0,757.5860595703125,1508.877944946289,1586.0052490234375,18.75,0.0,2.0,98.4000015258789,98.4000015258789,37.5,0.0,0.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4288.07421875,0.0,0.0029,-185.45431518554688,1.0967147949218656,12.435415234374998,1.9650260210037231,0.0,361.82,144.08340487480163,695.4079852068425,710.985714919567,6.70000008540228e-05,0.0,5003026.0,-79.99999797903001,17.28820344588985,335.2027462726983,0.21073700487613678,0.0,1412.0,-146.8444556593895,186.0821948349476,297.56065088510513,202.4210205078125,0.0,0.0,0.0,0.0,0.0,2507.15304475477,2979.6897763351826
2021-11-01,159.07008361816406,0.0,10.0,757.5860595703125,1508.877944946289,1590.7008361816406,19.549999237060547,0.0,2.0,98.4000015258789,98.4000015258789,39.099998474121094,0.0,0.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4324.626953125,0.0,0.0029,-185.45431518554688,1.0967147949218656,12.541418164062499,1.9500019550323486,0.0,361.82,144.08340487480163,695.4079852068425,705.5497073698044,7.200000254670158e-05,0.0,5003026.0,-79.99999797903001,17.28820344588985,360.2178847412142,0.21270599961280823,0.0,1412.0,-146.8444556593895,186.0821948349476,300.3408714532852,203.5450897216797,0.0,0.0,0.0,0.0,0.0,2507.15304475477,3008.450716384128
2021-11-02,159.7394561767578,0.0,10.0,757.5860595703125,1508.877944946289,1597.3945617675781,19.600000381469727,0.0,2.0,98.4000015258789,98.4000015258789,39.20000076293945,0.0,0.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4584.798828125,0.0,0.0029,-185.45431518554688,1.0967147949218656,13.2959166015625,1.9713770151138306,0.0,361.82,144.08340487480163,695.4079852068425,713.2836316084862,6.900000153109431e-05,0.0,5003026.0,-79.99999797903001,17.28820344588985,345.20880166010465,0.25520798563957214,0.0,1412.0,-146.8444556593895,186.0821948349476,360.35367572307587,220.23959350585938,0.0,0.0,0.0,0.0,0.0,2507.15304475477,3068.736588123747
2021-11-03,161.47781372070312,0.0,10.0,757.5860595703125,1508.877944946289,1614.7781372070312,19.940000534057617,0.0,2.0,98.4000015258789,98.4000015258789,39.880001068115234,0.0,0.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4607.19384765625,0.0,0.0029,-185.45431518554688,1.0967147949218656,13.360862158203124,2.0637009143829346,0.0,361.82,144.08340487480163,695.4079852068425,746.6882648420334,5.500000042957254e-05,0.0,5003026.0,-79.99999797903001,17.28820344588985,275.1664321491626,0.2692379951477051,0.0,1412.0,-146.8444556593895,186.0821948349476,380.16404914855957,242.89881896972656,0.0,0.0,0.0,0.0,0.0,2507.15304475477,3070.0377465731053
2021-11-04,163.52587890625,0.0,10.0,757.5860595703125,1508.877944946289,1635.2587890625,19.6200008392334,0.0,2.0,98.4000015258789,98.4000015258789,39.2400016784668,0.0,0.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4537.32421875,0.0,0.0029,-185.45431518554688,1.0967147949218656,13.158240234374999,1.9848819971084595,0.0,361.82,144.08340487480163,695.4079852068425,718.1700041937828,4.8999998398358e-05,-5061980.0,-58954.0,-248.03701189252024,-230.7488084466304,-2.8887459055767977,0.28746798634529114,0.0,1412.0,-146.8444556593895,186.0821948349476,405.9047967195511,247.3877716064453,0.0,0.0,0.0,0.0,0.0,2259.1160328622495,2808.8430859830987
2021-11-05,163.67575073242188,0.0,10.0,757.5860595703125,1508.877944946289,1636.7575073242188,19.530000686645508,0.0,2.0,98.4000015258789,98.4000015258789,39.060001373291016,0.0,0.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4486.2431640625,0.0,0.0029,-185.45431518554688,1.0967147949218656,13.010105175781248,1.9862060546875,0.0,361.82,144.08340487480163,695.4079852068425,718.6490747070312,6.199999916134402e-05,0.0,-58954.0,-248.03701189252024,-230.7488084466304,-3.6551479505578754,0.3799949884414673,0.0,1412.0,-146.8444556593895,186.0821948349476,536.5529236793518,236.47433471679688,0.0,0.0,0.0,0.0,0.0,2259.1160328622495,2940.3744643091163
2021-11-06,163.67575073242188,0.0,10.0,757.5860595703125,1508.877944946289,1636.7575073242188,19.530000686645508,0.0,2.0,98.4000015258789,98.4000015258789,39.060001373291016,0.0,0.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4521.5810546875,0.0,0.0029,-185.45431518554688,1.0967147949218656,13.11258505859375,2.0066089630126953,0.0,361.82,144.08340487480163,695.4079852068425,726.0312549972534,5.900000178371556e-05,0.0,-58954.0,-248.03701189252024,-230.7488084466304,-3.478286105157167,0.33929601311683655,0.0,1412.0,-146.8444556593895,186.0821948349476,479.0859705209732,258.934326171875,0.0,0.0,0.0,0.0,0.0,2259.1160328622495,2890.569033169173
2021-11-07,163.67575073242188,0.0,10.0,757.5860595703125,1508.877944946289,1636.7575073242188,19.530000686645508,0.0,2.0,98.4000015258789,98.4000015258789,39.060001373291016,0.0,0.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4620.5546875,0.0723,0.0752,334.06610390625,335.1628187011719,347.4657125,2.021872043609619,0.0,361.82,144.08340487480163,695.4079852068425,731.5537428188323,5.700000110664405e-05,0.0,-58954.0,-248.03701189252024,-230.7488084466304,-3.3603780652410933,0.35405299067497253,0.0,1412.0,-146.8444556593895,186.0821948349476,499.9228228330612,249.823486328125,0.65,0.65,162.38526611328126,162.38526611328126,162.38526611328126,2755.567402881781,3413.7846748974434
2021-11-08,163.46592712402344,0.0,10.0,757.5860595703125,1508.877944946289,1634.6592712402344,19.889999389648438,0.0,2.0,98.4000015258789,98.4000015258789,39.779998779296875,0.0,0.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4812.08740234375,0.0,0.0752,334.06610390625,335.1628187011719,361.86897265625004,2.1244189739227295,0.0,361.82,144.08340487480163,695.4079852068425,768.657273144722,5.500000042957254e-05,0.0,-58954.0,-248.03701189252024,-230.7488084466304,-3.2424700253250194,0.39427998661994934,0.0,1412.0,-146.8444556593895,186.0821948349476,556.7233411073685,248.46717834472656,0.0,0.65,162.38526611328126,162.38526611328126,161.50366592407227,2755.567402881781,3519.950052826619
2021-11-09,162.3569793701172,0.0,10.0,757.5860595703125,1508.877944946289,1623.5697937011719,20.899999618530273,0.0,2.0,98.4000015258789,98.4000015258789,41.79999923706055,0.0,0.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4735.06884765625,0.0,0.0752,334.06610390625,335.1628187011719,356.07717734375,2.2734830379486084,0.0,361.82,144.08340487480163,695.4079852068425,822.5916327905654,5.500000042957254e-05,0.0,-58954.0,-248.03701189252024,-230.7488084466304,-3.2424700253250194,0.35352298617362976,0.0,1412.0,-146.8444556593895,186.0821948349476,499.1744564771652,239.213134765625,0.0,0.65,162.38526611328126,162.38526611328126,155.48853759765626,2755.567402881781,3495.4591271220443
